model_name,model_weights,model_path
alexnet,alexnet_0,alexnet/alexnet_38epochs_0.9274.weights
alexnet,alexnet_1,alexnet/alexnet_28epochs_0.9263.weights
alexnet,alexnet_2,alexnet/alexnet_37epochs_0.9214.weights
alexnet,alexnet_3,alexnet/alexnet_29epochs_0.9277.weights
alexnet,alexnet_4,alexnet/alexnet_39epochs_0.927.weights
alexnet,alexnet_5,alexnet/alexnet_31epochs_0.9265.weights
alexnet,alexnet_6,alexnet/alexnet_38epochs_0.9269.weights
alexnet,alexnet_7,alexnet/alexnet_39epochs_0.9263.weights
alexnet,alexnet_8,alexnet/alexnet_37epochs_0.9563.weights
alexnet,alexnet_9,alexnet/alexnet_36epochs_0.9286.weights